lat,lon,add,name,,
39.7973174,-79.04473659999996,"1349 Shaw Mines Road, Meyersdale, PA 15552, USA",Meyersdale Area High School,,
40.159175,-79.02939900000001,"400 Ohio Street, Boswell, PA 15531, USA",North Star High School,,
39.9174606,-79.15926910000002,"437 Somerset Avenue, Rockwood, PA 15557, USA",Rockwood Area High School,,
39.7531367,-79.0828583,"196 Smith Avenue, Salisbury, PA 15558, USA",Salisbury Elk Lick High School,,
40.1194135,-78.8177336,"Cairnbrook, PA, USA",Shade High School,,
40.0183997,-78.90937509999998,"Shanksville, PA 15560, USA",Shanksville Stonycreek High School,,
40.0027823,-79.08598540000003,"645 South Columbia Avenue, Somerset, PA 15501, USA",Somerset Area High School,,
39.7989352,-79.32882990000002,"172 Turkeyfoot Road, Confluence, PA 15424, USA",Turkeyfoot Valley Area High School,,
40.2304427,-78.82429080000003,"2301 Graham Avenue, Windber, PA 15963, USA",Windber Area High School,,
41.4140959,-79.72696059999998,"1505 West 1st Street, Oil City, PA 16301, USA",Venango Catholic High School,,
41.3978358,-79.83144370000002,"Franklin, PA 16323, USA",Visionquest,,
41.3669916,-79.71412670000001,"1 Education Drive, Seneca, PA 16346, USA",Cranberry Area High School,,
41.370091,-79.84881769999998,"246 Pone Lane, Franklin, PA 16323, USA",Franklin Area High School,,
41.4316504,-79.6827667,"10 Lynch Boulevard, Oil City, PA 16301, USA",Oil City Area Senior High School,,
41.4109159,-79.82555350000001,"403 Rocky Grove Avenue, Franklin, PA 16323, USA",Rocky Grove Junior-Senior High School,,
41.683095,-79.4026442,"241 Main Street, Allegheny National Forest, Tidioute, PA 16351, USA",Tidioute Community Charter High School,,
41.846137,-79.33921299999997,"165 Mead Run Road, Youngsville, PA 16371, USA",Warren County Christian School,,
41.963453,-79.20323200000001,"3700 Pennsylvania 957, Russell, PA 16345, USA",Eisenhower Middle High School,,
41.716942,-79.0439619,"6760 Route 6, Allegheny National Forest, Warren, PA 16365, USA",Sheffield Area High School,,
41.8571435,-79.13608909999999,"345 East 5th Avenue, Warren, PA 16365, USA",Warren Area High School,,
41.8521734,-79.3147265,"227 College Street, Youngsville, PA 16371, USA",Youngsville High School,,
